Policy,Retriever,Budget,Recall@512,Recall_95CI,Coverage@512,Coverage_95CI,MRR@512,nDCG@512,Mean_GPC,Mean_CMA
Fixed-128,Dense,512,0.640958890444864,"[0.606, 0.677]",0.3708609271523179,"[0.298, 0.450]",0.2803532008830022,0.3033728313623482,0.45917870699403956,0.7770967168890467
Fixed-128,BM25,512,0.5903191744701977,"[0.558, 0.623]",0.2980132450331126,"[0.232, 0.371]",0.21743929359823397,0.2380147502601724,0.45917870699403956,0.7770967168890467
Fixed-256,Dense,512,0.5346936662415541,"[0.496, 0.571]",0.4304635761589404,"[0.351, 0.503]",0.4205298013245033,0.4231310547067177,0.43735412884755726,0.8123267876868027
Fixed-256,BM25,512,0.46979709693324,"[0.433, 0.507]",0.2582781456953642,"[0.192, 0.331]",0.25496688741721857,0.2558339718779567,0.43735412884755726,0.8123267876868027
Fixed-512,Dense,512,0.5986246551835672,"[0.563, 0.638]",0.47019867549668876,"[0.391, 0.550]",0.47019867549668876,0.47019867549668876,0.42021302352903395,0.8429418362982416
Fixed-512,BM25,512,0.5790210370767632,"[0.542, 0.620]",0.39072847682119205,"[0.318, 0.464]",0.39072847682119205,0.39072847682119205,0.42021302352903395,0.8429418362982416
Recursive-256,Dense,512,0.6285080225666877,"[0.590, 0.669]",0.5165562913907285,"[0.437, 0.596]",0.3909492273730684,0.4226655747743204,0.47837088538252237,0.7859729701049131
Recursive-256,BM25,512,0.5842459144709677,"[0.546, 0.620]",0.4370860927152318,"[0.358, 0.517]",0.3360927152317881,0.36227761852556184,0.47837088538252237,0.7859729701049131
Semantic-75,Dense,512,0.61059704135916,"[0.574, 0.651]",0.4105960264900662,"[0.331, 0.490]",0.30353200883002207,0.33034278014784596,0.5818328488082521,0.7330602543113401
Semantic-75,BM25,512,0.550674376234231,"[0.514, 0.589]",0.32450331125827814,"[0.252, 0.397]",0.23273415326395455,0.25565216949800373,0.5818328488082521,0.7330602543113401
GoldSection,Dense,512,0.5594809771492697,"[0.518, 0.604]",0.40397350993377484,"[0.325, 0.490]",0.3661147902869757,0.3754798381900781,0.470148280142526,0.8049690291071819
GoldSection,BM25,512,0.5267700569950007,"[0.483, 0.569]",0.36423841059602646,"[0.285, 0.444]",0.3289183222958057,0.33806250350047456,0.470148280142526,0.8049690291071819
